0	52.5	0
1	37	0
7	63	0
8	40	0
11	2.6	0
12	8.5	0
14	74	0
15	79	0
17	52	0
18	16	0
20	47	0
21	56	0
22	59	0
26	84.5	0
28	53.4	0
31	54.5	0
34	110	0
35	92.6	0
42	48.6	0
43	27.3	0
45	79.5	0
46	74	0
47	27	0
50	86.9	0
52	56.5	0
54	28	0
56	5	0
57	54	0
58	74	0
61	30	0
63	108	0
64	27	0
65	1	0
67	63.9	0
68	50	0
73	127.5	0
77	7.5	0
78	12	0
80	12	0
81	6.1	0
82	32.3	0
83	30	0
87	2	0
91	18	0
94	97	0
95	62	0
96	75.5	0
97	131	0
103	20	0
104	43	0
105	23.8	0
106	18	0
109	50.1	0
113	28	0
114	122.5	0
115	41	0
116	4.5	0
120	79	0
121	6	0
122	103.4	0
124	62	0
125	71	0
127	34	0
129	67	0
135	22	0
136	12	0
138	94	0
139	81	0
142	26	0
145	30.9	0
146	24	0
147	34	0
148	6	0
150	12	0
151	74	0
152	25.5	0
154	27	0
155	66	0
156	56	0
159	24	0
162	90	0
164	49.5	0
165	10	0
166	12	0
167	90	0
168	76	0
173	38.5	0
177	22	0
178	52	0
180	15	0
183	32.5	0
184	58	0
185	36	0
186	47	0
188	74.5	0
189	106	0
190	69	0
192	66.4	0
194	42	0
196	20	0
198	23	0
0	0	0
