200	31	2	
200	18	3	
201	16	2	
201	39	2	
201	6	1	
201	40	1	
202	50	3	
202	13	1	
202	15	3	
203	46	3	
203	51	1	
203	28	3	
203	18	2	
203	46	3	
204	9	2	
204	6	1	
204	5	3	
205	34	1	
205	15	1	
206	28	2	
206	37	3	
207	51	2	
208	23	2	
208	4	1	
209	51	1	
209	4	3	
210	39	1	
210	30	3	
210	42	1	
210	18	1	
211	49	3	
211	44	2	
212	18	1	
212	24	1	
212	37	2	
212	33	2	
213	36	3	
213	36	2	
213	22	1	
213	13	1	
214	22	3	
215	42	1	
215	44	3	
216	39	1	
216	33	1	
217	51	1	
217	22	3	
218	46	1	
218	38	3	
218	50	1	
218	34	1	
219	31	1	
219	20	2	
220	5	1	
220	43	2	
220	29	3	
220	12	3	
220	19	3	
221	17	2	
222	18	2	
223	10	2	
223	3	3	
223	34	1	
223	42	3	
223	34	1	
224	33	2	
224	22	3	
224	48	3	
225	23	3	
226	47	1	
226	52	1	
226	8	3	
226	14	3	
226	32	1	
227	15	2	
227	42	2	
228	9	2	
228	38	3	
228	15	3	
228	15	2	
228	32	1	
229	17	2	
229	30	3	
229	4	2	
229	23	1	
229	28	2	
230	53	1	
230	2	1	
230	45	2	
231	19	2	
231	42	3	
231	2	1	
231	6	1	
232	21	3	
232	49	1	
232	24	3	
232	53	2	
233	20	3	
233	50	2	
233	48	1	
233	26	2	
234	38	1	
235	17	1	
235	51	1	
235	37	3	
235	10	2	
235	48	3	
236	1	3	
236	12	2	
237	43	3	
237	37	1	
237	14	3	
237	36	1	
238	40	3	
238	29	2	
238	18	1	
238	19	1	
238	38	2	
239	15	2	
239	45	2	
239	40	2	
239	10	3	
239	44	1	
240	33	1	
240	43	3	
240	22	1	
241	8	3	
242	30	3	
242	44	3	
243	10	1	
243	22	3	
243	38	1	
244	30	3	
245	9	1	
245	29	2	
245	45	3	
246	53	1	
246	52	3	
246	37	2	
246	7	1	
246	1	2	
247	23	2	
247	48	2	
247	23	2	
248	39	3	
248	13	2	
249	11	2	
249	14	2	
249	32	3	
