0	48	2
0	25	1
0	39	3
0	6	3
1	42	2
1	22	2
2	5	3
2	23	3
2	48	1
3	8	1
3	7	1
3	11	2
3	12	3
4	9	3
4	10	1
4	18	1
5	3	3
5	13	1
6	34	3
7	38	3
7	48	3
7	11	3
8	50	1
8	17	2
8	37	3
8	31	1
9	39	3
9	6	2
10	53	2
11	35	2
12	46	1
13	18	1
13	10	2
14	52	2
14	17	3
14	27	2
15	11	1
15	45	1
15	13	3
15	26	3
16	11	3
16	6	2
16	10	2
16	30	2
16	42	1
17	29	2
17	22	1
17	9	3
17	9	2
18	20	1
19	15	3
19	21	1
19	30	2
19	2	3
19	14	1
20	12	1
20	16	1
20	21	2
20	21	1
21	10	2
21	4	3
22	45	2
22	15	3
22	51	2
23	18	3
23	9	2
24	11	2
24	36	3
24	6	1
24	5	1
25	4	3
25	24	1
25	26	1
25	32	3
26	30	2
26	31	3
26	21	2
26	43	3
26	24	2
27	49	3
28	35	3
28	41	3
28	49	3
28	41	1
28	28	3
29	8	2
30	18	1
30	53	1
30	35	1
30	17	1
31	7	1
31	19	1
31	17	1
31	34	2
31	28	1
32	47	2
32	39	3
32	50	3
32	35	3
33	30	2
33	48	2
33	19	2
33	46	1
33	37	3
34	22	3
34	20	3
34	26	1
34	27	2
35	9	2
35	43	2
35	21	3
35	35	2
35	5	2
36	13	3
36	4	3
36	37	2
36	49	2
37	22	2
38	32	2
38	53	3
38	33	3
39	30	3
39	19	2
40	39	3
40	34	3
40	4	1
41	16	1
41	1	3
41	13	2
41	15	1
42	36	2
42	47	3
42	26	3
42	50	2
42	29	2
43	42	3
43	32	1
43	36	1
43	32	3
43	34	3
44	50	3
44	8	3
44	10	3
45	24	1
45	44	3
45	43	3
45	33	3
46	17	3
46	11	2
47	7	3
48	21	1
48	39	1
49	28	2
49	26	1
49	26	1
50	36	3
50	5	2
50	28	2
50	1	3
50	22	2
51	38	2
52	46	1
52	17	2
52	52	3
52	29	2
53	5	3
54	10	2
54	38	1
55	52	3
56	31	1
57	31	3
57	23	2
57	29	3
57	37	3
57	53	2
58	11	2
58	17	3
59	11	3
59	44	1
59	31	3
60	38	2
60	17	1
60	3	3
60	49	1
60	3	1
61	5	3
62	41	3
62	10	3
62	29	3
62	51	1
63	51	3
63	5	1
63	16	3
63	4	3
63	52	2
64	7	3
65	34	1
66	16	3
66	8	3
66	45	2
67	1	1
67	51	3
67	18	2
67	35	3
68	18	1
68	18	3
68	16	2
69	10	1
70	38	1
70	29	3
70	31	2
70	28	2
71	19	1
71	18	2
72	15	1
72	49	2
72	9	1
72	17	1
73	14	3
73	16	1
73	46	3
73	48	3
73	20	2
74	45	3
74	38	1
74	17	1
74	17	1
74	51	2
75	44	2
